"A 313 200 000 UI POUR CENT, pommade",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=61266250&typedoc=R
"A 313 50 000 U.I., capsule molle",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=62869109&typedoc=R
"ABACAVIR SANDOZ 300 mg, comprimé pelliculé sécable",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=63797011&typedoc=R
"ABACAVIR/LAMIVUDINE BIOGARAN 600 mg/300 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=63431640&typedoc=R
"ABACAVIR/LAMIVUDINE EG 600 mg/300 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=65196479&typedoc=R
"ABACAVIR/LAMIVUDINE MYLAN PHARMA 600 mg/300 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=62170486&typedoc=R
"ABACAVIR/LAMIVUDINE SANDOZ 600 mg/300 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=67720261&typedoc=R
"ABACAVIR/LAMIVUDINE TEVA 600 mg/300 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=65857902&typedoc=R
"ABACAVIR/LAMIVUDINE/ZIDOVUDINE MYLAN 300 mg/150 mg/300 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=63152345&typedoc=R
"ABASAGLAR 100 unités/ml, solution injectable en cartouche",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=66513085&typedoc=R
"ABASAGLAR 100 unités/ml, solution injectable en stylo prérempli",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=64332894&typedoc=R
"ABELCET 5 mg/ml, suspension à diluer pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=66207341&typedoc=R
"ABIES CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=60538772&typedoc=R
"ABIES NIGRA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=65698396&typedoc=R
"ABIES PECTINATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=63075735&typedoc=R
"ABIES PECTINATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=69985792&typedoc=R
"ABIES PECTINATA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=62425595&typedoc=R
"ABILIFY 1 mg/ml, solution buvable",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=64055988&typedoc=R
"ABILIFY 10 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=65198099&typedoc=R
"ABILIFY 10 mg, comprimé orodispersible",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=61815891&typedoc=R
"ABILIFY 15 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=64224801&typedoc=R
"ABILIFY 15 mg, comprimé orodispersible",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=66791654&typedoc=R
"ABILIFY 5 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=60599533&typedoc=R
"ABILIFY 7,5 mg/ml, solution injectable",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=69641873&typedoc=R
"ABILIFY MAINTENA 300 mg, poudre et solvant pour suspension injectable à libération prolongée",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=68729480&typedoc=R
"ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=60667087&typedoc=R
"ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=66706942&typedoc=R
"ABRAXANE 5 mg/ml, poudre pour suspension injectable pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/affichageDoc.php?specid=68739019&typedoc=R
